Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
1398,7/20/2005,77.1,78.1,77.05,77.79,38.0158,982600,0,1
1399,7/21/2005,77.55,78.4,77.55,78,38.1184,939300,0,1
1400,7/22/2005,78.71,78.71,77.37,77.49,37.8691,1079100,0,1
1401,7/25/2005,77.3,78.15,77.12,78.05,38.1428,1399000,0,1
1402,7/26/2005,78.23,79.33,77.9,79.23,38.7195,1198500,0,1
1403,7/27/2005,79.4,81.14,79.4,80.7,39.4379,2311300,0,1
1404,7/28/2005,80.52,81.16,80.45,80.8,39.4867,1140300,0,1
1405,7/29/2005,80.7,80.76,79.95,80.01,39.1007,1170100,0,1
1406,8/2/2005,79.6,81.2,79.6,80.64,39.4085,803000,0,1
1407,8/3/2005,74,75.23,73.8,74.55,36.4324,8190600,0,1
1408,8/4/2005,73.61,73.75,70.18,71.75,35.064,6938000,0,1
1409,8/5/2005,71.1,72.65,70.7,71.69,35.0347,2316300,0,1
1410,8/8/2005,72.15,72.34,71.01,71.55,34.9663,1177900,0,1
1411,8/9/2005,71.8,71.8,70.81,70.82,34.6095,1277300,0,1
1412,8/10/2005,71,72.6,70.91,71.85,35.1129,2303400,0,1
1413,8/11/2005,72,72.5,71.51,71.62,35.0005,1359300,0,1
1414,8/12/2005,71.84,71.97,71.15,71.3,34.8441,633500,0,1
1415,8/15/2005,71.3,71.59,71,71.1,34.7464,1028900,0,1
1416,8/16/2005,70.8,70.8,69.81,70.06,34.2381,2243300,0,1
1417,8/17/2005,69.93,70.4,69.81,70.15,34.2821,1381400,0,1
1418,8/18/2005,70.1,70.29,69.88,69.9,34.1599,1161500,0,1
1419,8/19/2005,70,70.56,69.93,70.25,34.331,789200,0,1
1420,8/22/2005,70.55,70.64,70.12,70.17,34.2919,503000,0,1
1421,8/23/2005,70,70.25,68.92,69.09,33.7641,2333000,0,1
1422,8/24/2005,68.8,70.2,68.56,68.82,33.6321,3261700,0,1
1423,8/25/2005,69,70.56,68.7,70.06,34.2381,1791800,0,1
1424,8/26/2005,70.5,70.69,69.87,70.09,34.2528,1236800,0,1
1425,8/29/2005,70.09,70.41,70,70.25,34.331,1227600,0,1
1426,8/30/2005,70.25,70.29,69.91,69.97,34.1941,904900,0,1
1427,8/31/2005,70,70.39,69.82,70,34.2088,916800,0,1
1428,9/1/2005,70,70.57,70,70.2,34.3065,777700,0,1
1429,9/2/2005,70.1,70.88,70.04,70.88,34.6389,846900,0,1
1430,9/6/2005,70.94,71.38,70.51,71.09,34.7415,1540200,0,1
1431,9/7/2005,71.09,71.23,70.67,71.1,34.7464,1243200,0,1
1432,9/8/2005,71.25,71.3,70.9,71.18,34.7855,1078000,0,1
1433,9/9/2005,71.36,71.85,71.15,71.7,35.0396,864900,0,1
1434,9/12/2005,71.62,71.89,71.53,71.72,35.0494,676900,0,1
1435,9/13/2005,71.98,73.49,71.9,73.25,35.7971,3452100,0,1
1436,9/14/2005,73.45,73.53,73.19,73.5,35.9192,1089400,0,1
1437,9/15/2005,73.58,74.13,73.55,74,36.1636,1589600,0,1
1438,9/16/2005,74,74.15,73.15,73.23,35.7873,2604800,0,1
1439,9/19/2005,73.5,73.81,73.3,73.6,35.9681,681700,0,1
1440,9/20/2005,73.6,74.46,73.1,73.61,35.973,1490800,0,1
1441,9/21/2005,73.7,73.8,73.4,73.6,35.9681,797700,0,1
1442,9/22/2005,73.6,73.85,73.42,73.5,35.9192,829600,0,1
1443,9/23/2005,73.5,74.23,73.45,74.23,36.276,2246800,0,1
1444,9/26/2005,73.85,73.85,73,73,36.0047,1452300,0,1
1445,9/27/2005,73,73.83,72.99,73.65,36.3253,1835800,0,1
1446,9/28/2005,73.98,73.98,72.75,72.8,35.9061,959200,0,1
1447,9/29/2005,73.1,73.1,72.21,72.47,35.7433,722400,0,1
1448,9/30/2005,72.3,73.02,72.2,72.6,35.8074,811100,0,1
1449,10/3/2005,72.6,72.85,72.36,72.48,35.7482,1248400,0,1
1450,10/4/2005,72.5,72.5,71.75,72.01,35.5164,1780700,0,1
1451,10/5/2005,72,72,71.59,71.87,35.4474,767400,0,1
1452,10/6/2005,71.8,71.87,71.25,71.76,35.3931,622500,0,1
1453,10/7/2005,71.82,72.16,71.52,71.77,35.3981,642500,0,1
1454,10/11/2005,72,72.24,71,71.73,35.3783,550300,0,1
1455,10/12/2005,71.96,71.96,71.08,71.33,35.1811,945800,0,1
1456,10/13/2005,71.36,71.6,70.83,71.37,35.2008,1387600,0,1
1457,10/14/2005,71.69,71.69,71.04,71.42,35.2254,439900,0,1
1458,10/17/2005,71.21,71.35,70.72,71.2,35.1169,435300,0,1
1459,10/18/2005,70.71,70.8,70.08,70.25,34.6484,1277100,0,1
1460,10/19/2005,70.28,70.79,70.03,70.59,34.8161,738500,0,1
1461,10/20/2005,70.5,70.88,70.25,70.36,34.7026,1041600,0,1
1462,10/21/2005,70.25,71.01,70.05,70.75,34.895,707700,0,1
1463,10/24/2005,70.99,71.4,70.5,71.4,35.2156,1095200,0,1
1464,10/25/2005,71.4,71.87,70.57,70.88,34.9591,600000,0,1
1465,10/26/2005,71,71.59,70.58,71.2,35.1169,658600,0,1
1466,10/27/2005,70.81,71.55,70.81,71.5,35.2649,562500,0,1
1467,10/28/2005,71.7,72.23,71.7,72.03,35.5263,929500,0,1
1468,10/31/2005,72.1,72.99,72.05,72.2,35.6102,2682600,0,1
1469,11/1/2005,72.26,72.94,72.1,72.94,35.9751,722200,0,1
1470,11/2/2005,72.94,73.15,72.55,73.09,36.0491,898800,0,1
1471,11/3/2005,73.15,73.3,72.9,72.9,35.9554,490900,0,1
1472,11/4/2005,72.75,73.5,72.75,73.5,36.2513,531600,0,1
1473,11/7/2005,73.66,74.26,73.66,74.18,36.5867,900100,0,1
1474,11/8/2005,73.85,73.93,73.03,73.07,36.0392,1143300,0,1
1475,11/9/2005,72.85,73.6,72.51,73.58,36.2908,1423200,0,1
1476,11/10/2005,73.5,73.75,73.08,73.36,36.1823,741100,0,1
1477,11/11/2005,73.45,74.4,73.45,74.35,36.6706,1485000,0,1
1478,11/14/2005,74.15,75.35,74.07,75.16,37.0701,1090300,0,1
1479,11/15/2005,74.98,75.2,74.25,74.55,36.7692,743800,0,1
1480,11/16/2005,74.55,74.99,74.55,74.98,36.9813,936100,0,1
1481,11/17/2005,74.98,75.3,74.52,74.6,36.7939,992700,0,1
