Number,Date,TSE:CM(open),TSE:CM(high),TSE:CM(low),TSE:CM(close),TSE:CM(adjusted close),TSE:CM(volume),TSE:CM(dividend amount),TSE:CM(split coefficient)
2779,1/19/2011,77.1,77.49,76.22,76.5,48.5059,1486600,0,1
2780,1/20/2011,76.37,76.71,76,76.25,48.3474,1096300,0,1
2781,1/21/2011,76.42,76.57,75.12,75.37,47.7894,3042300,0,1
2782,1/24/2011,75.8,76.29,75.26,75.86,48.1001,2477600,0,1
2783,1/25/2011,75.68,76.45,75.52,76.39,48.4361,2027900,0,1
2784,1/26/2011,76.65,76.94,76,76.11,48.2586,1118300,0,1
2785,1/27/2011,76.15,76.45,75.79,75.83,48.0811,1081500,0,1
2786,1/28/2011,75.94,76.31,75.5,75.82,48.0747,2016100,0,1
2787,1/31/2011,75.75,76.6,75.7,76.27,48.36,1158300,0,1
2788,2/1/2011,76.3,77.13,76.14,77.06,48.8609,1039900,0,1
2789,2/2/2011,77.06,77.15,76.65,76.75,48.6644,796500,0,1
2790,2/3/2011,76.92,77.77,76.8,77.71,49.2731,1044100,0,1
2791,2/4/2011,77.76,77.99,77.51,77.88,49.3809,1036100,0,1
2792,2/7/2011,78,78.54,77.92,78.39,49.7043,1441500,0,1
2793,2/8/2011,78.22,78.99,77.92,78.76,49.9388,1337900,0,1
2794,2/9/2011,78.7,79.25,78.43,78.7,49.9008,1184700,0,1
2795,2/10/2011,78.6,80,78.47,79.95,50.6934,1827000,0,1
2796,2/11/2011,79.55,80.29,79.31,79.76,50.5729,1037000,0,1
2797,2/14/2011,79.86,80.51,79.78,80.39,50.9724,1396400,0,1
2798,2/15/2011,80.16,80.96,80.07,80.57,51.0865,938700,0,1
2799,2/16/2011,80.9,81.84,80.81,81.3,51.5494,1398500,0,1
2800,2/17/2011,81.13,82.46,81.09,82.46,52.2849,1368700,0,1
2801,2/18/2011,82.4,82.4,81.61,81.81,51.8727,1303400,0,1
2802,2/22/2011,81.49,81.97,80.56,80.96,51.3338,1208100,0,1
2803,2/23/2011,80.6,80.79,79.5,79.7,50.5349,2692800,0,1
2804,2/24/2011,81.1,82.97,81.02,82.43,52.2659,2920200,0,1
2805,2/25/2011,82.95,83.65,82.13,82.25,52.1517,1604200,0,1
2806,2/28/2011,82.1,83.25,81.97,82.19,52.1137,1927900,0,1
2807,3/1/2011,82.01,82.85,81.54,82.09,52.0503,1268300,0,1
2808,3/2/2011,81.83,82.83,81.68,82.47,52.2912,959700,0,1
2809,3/3/2011,82.9,83.24,82.13,82.59,52.3673,1423300,0,1
2810,3/4/2011,82.61,83.2,82.3,82.6,52.3736,752600,0,1
2811,3/7/2011,82.82,83.19,81.76,81.99,51.9869,1298200,0,1
2812,3/8/2011,82.38,83.36,81.75,82.9,52.5639,1162700,0,1
2813,3/9/2011,83.26,83.35,82.28,82.57,52.3546,1296000,0,1
2814,3/10/2011,82.37,82.53,81.68,81.99,51.9869,1351600,0,1
2815,3/11/2011,81.5,82.51,81.5,81.99,51.9869,644300,0,1
2816,3/14/2011,81.58,82.3,81.56,82.25,52.1517,968600,0,1
2817,3/15/2011,81,82.14,80.61,81.78,51.8537,1311900,0,1
2818,3/16/2011,81.56,81.74,80.77,81.29,51.543,2155400,0,1
2819,3/17/2011,81.92,81.95,80.83,81.44,51.6382,1268800,0,1
2820,3/18/2011,81.72,82.29,81.3,82.06,52.0313,2433900,0,1
2821,3/21/2011,82.75,83.58,82.56,83.39,52.8746,1275800,0,1
2822,3/22/2011,83.55,84.67,83.47,84.31,53.4579,1407100,0,1
2823,3/23/2011,84.55,85.56,84.41,85.49,54.2061,1794600,0,1
2824,3/24/2011,84.6,84.68,83.32,83.4,53.4246,2276800,0,1
2825,3/25/2011,83.4,84,83.35,83.75,53.6488,725000,0,1
2826,3/28/2011,84,84.29,83.54,83.74,53.6424,1109000,0,1
2827,3/29/2011,83.74,84.27,83.28,84,53.8089,866900,0,1
2828,3/30/2011,84.23,84.46,84.01,84.05,53.841,1390900,0,1
2829,3/31/2011,84.38,84.5,83.57,83.6,53.5527,1201700,0,1
2830,4/1/2011,83.5,85.18,83.5,84.86,54.3598,2034100,0,1
2831,4/4/2011,85.2,85.53,84.53,84.89,54.3791,1170800,0,1
2832,4/5/2011,84.88,85.31,84.57,84.77,54.3022,716500,0,1
2833,4/6/2011,85.25,85.25,84.07,84.73,54.2766,994300,0,1
2834,4/7/2011,84.49,84.83,83.82,83.92,53.7577,952000,0,1
2835,4/8/2011,83.83,84.23,83.47,83.75,53.6488,773800,0,1
2836,4/11/2011,83.97,83.98,82.97,83.52,53.5015,757400,0,1
2837,4/12/2011,83.14,83.49,82.57,83.2,53.2965,845500,0,1
2838,4/13/2011,83.75,84.19,82.57,83.73,53.636,982900,0,1
2839,4/14/2011,83.99,84,83.09,83.67,53.5976,1119400,0,1
2840,4/15/2011,83.27,83.7,82.5,82.5,52.8481,879900,0,1
2841,4/18/2011,82.15,82.37,81.48,82.29,52.7136,958000,0,1
2842,4/19/2011,82,82.24,81.73,81.8,52.3997,657300,0,1
2843,4/20/2011,82.27,82.3,81.62,81.66,52.31,635800,0,1
2844,4/21/2011,81.82,82.27,81.38,81.93,52.4829,940300,0,1
2845,4/25/2011,81.8,82.04,81.21,81.25,52.0473,743200,0,1
2846,4/26/2011,81.4,81.4,80.94,81.14,51.9769,1055800,0,1
2847,4/27/2011,81.37,81.39,80.25,80.76,51.7335,956000,0,1
2848,4/28/2011,80.72,80.98,80.26,80.85,51.7911,770000,0,1
2849,4/29/2011,80.61,81.91,80.61,81.91,52.4701,922000,0,1
2850,5/2/2011,81.6,83.33,81.6,82.05,52.5598,1035700,0,1
2851,5/3/2011,82.32,82.47,81,81.62,52.2844,1029000,0,1
2852,5/4/2011,81.62,81.62,80.62,81.08,51.9385,658400,0,1
2853,5/5/2011,80.71,81.46,80.45,81.36,52.1178,1177800,0,1
2854,5/6/2011,81.54,81.79,80.42,81.15,51.9833,1103800,0,1
2855,5/9/2011,81.21,81.57,80.81,81.56,52.2459,564300,0,1
2856,5/10/2011,81.89,82.82,81.15,82.45,52.816,896000,0,1
2857,5/11/2011,82.27,82.5,81.9,81.9,52.4637,914000,0,1
2858,5/12/2011,81.52,82.56,81.24,82.3,52.72,766000,0,1
2859,5/13/2011,82.56,82.56,81.95,82.5,52.8481,752000,0,1
2860,5/16/2011,82.2,83.42,82.2,82.83,53.0595,955000,0,1
2861,5/17/2011,82.81,83.58,82.71,83.5,53.4887,687700,0,1
2862,5/18/2011,83.79,84.26,83.35,84.01,53.8154,800000,0,1
2863,5/19/2011,83.93,84.37,83.53,84.32,54.0139,872900,0,1
2864,5/20/2011,84,84.81,83.8,84.4,54.0652,709500,0,1
2865,5/24/2011,84.25,84.39,83.66,83.7,53.6168,864000,0,1
2866,5/25/2011,83.5,84.5,83.37,84.45,54.0972,787700,0,1
2867,5/26/2011,82,82,81.08,81.15,51.9833,2662300,0,1
2868,5/27/2011,81.25,81.45,79.7,80.39,51.4964,2300000,0,1
2869,5/30/2011,80.55,80.75,80.46,80.5,51.5669,484200,0,1
2870,5/31/2011,80.75,80.75,79.56,80.31,51.4452,2074000,0,1
2871,6/1/2011,80.2,80.25,77.37,77.54,49.6708,2783200,0,1
2872,6/2/2011,77.7,78.47,77.13,78.15,50.0615,1896600,0,1
2873,6/3/2011,77.77,78.45,77.19,78.45,50.2537,982000,0,1
2874,6/6/2011,78.48,78.88,76.91,77.27,49.4978,1400100,0,1
2875,6/7/2011,77.34,77.78,76.71,77.1,49.3889,1000000,0,1
2876,6/8/2011,77,77.37,76.47,76.67,49.1135,1257000,0,1
2877,6/9/2011,77,77.46,76.01,77.14,49.4145,1080200,0,1
2878,6/10/2011,76.67,77.4,76.09,76.85,49.2288,855900,0,1
2879,6/13/2011,76.85,77,76.36,76.52,49.0174,893000,0,1
2880,6/14/2011,76.95,77.45,76.75,76.94,49.2864,1645900,0,1
2881,6/15/2011,76.74,76.98,76.07,76.77,49.1775,1394600,0,1
2882,6/16/2011,76.7,77.09,76.21,76.48,48.9918,1286800,0,1
2883,6/17/2011,76.65,77.26,76.53,77.16,49.4274,2842800,0,1
2884,6/20/2011,77.2,77.37,76.73,76.85,49.2288,862700,0,1
2885,6/21/2011,77.15,77.63,76.61,77.37,49.5619,1048400,0,1
2886,6/22/2011,77.4,78.29,77.3,78.1,50.0295,1534500,0,1
2887,6/23/2011,77.61,77.89,77.2,77.62,49.722,2405700,0,1
2888,6/24/2011,77.25,77.25,76.12,76.22,49.3787,994200,0,1
2889,6/27/2011,76.06,76.62,76.06,76.4,49.4953,1451300,0,1
2890,6/28/2011,76.64,76.78,76.06,76.25,49.3981,1206500,0,1
2891,6/29/2011,76.49,76.52,75.4,75.48,48.8993,1800000,0,1
2892,6/30/2011,75.8,76.26,75.69,76.15,49.3333,968700,0,1
2893,7/4/2011,76.5,76.76,76.18,76.59,49.6184,398400,0,1
2894,7/5/2011,76.93,77.1,75.67,75.81,49.113,1631500,0,1
2895,7/6/2011,75.99,76.35,75.47,75.76,49.0807,1126800,0,1
2896,7/7/2011,76.01,76.54,75.88,75.91,49.1778,1796900,0,1
2897,7/8/2011,75.75,76.23,75.48,75.6,48.977,700400,0,1
2898,7/11/2011,75.4,75.52,73.75,74.74,48.4198,1309800,0,1
2899,7/12/2011,74.25,74.85,74.12,74.51,48.2709,1226700,0,1
2900,7/13/2011,74.51,75.13,74.51,74.8,48.4587,1360400,0,1
2901,7/14/2011,75.44,75.63,74.25,74.62,48.3421,1274900,0,1
2902,7/15/2011,75.5,75.6,74.09,74.13,48.0247,1125100,0,1
2903,7/18/2011,74,74.31,72.62,73.04,47.3185,1320200,0,1
2904,7/19/2011,73.25,73.69,72.88,73.54,47.6424,1636600,0,1
2905,7/20/2011,74.02,74.25,73.36,73.81,47.8174,1407500,0,1
2906,7/21/2011,74.01,75.07,73.85,74.56,48.3033,1053200,0,1
2907,7/22/2011,74.8,75.41,74.03,74.32,48.1478,1334100,0,1
2908,7/25/2011,74,74.56,73.6,74.18,48.0571,884700,0,1
2909,7/26/2011,74.02,74.25,73.6,73.85,47.8433,1124700,0,1
2910,7/27/2011,73.51,73.55,72.75,72.75,47.1307,1411100,0,1
2911,7/28/2011,72.56,73.68,72.38,73.61,47.6878,967700,0,1
2912,7/29/2011,73.16,73.32,72.41,72.98,47.2797,954100,0,1
2913,8/2/2011,73.72,73.81,70.61,71.19,46.12,2080500,0,1
2914,8/3/2011,71.15,72.14,69.02,72.05,46.6772,2949800,0,1
2915,8/4/2011,71.54,71.6,70.06,71.22,46.1395,1936800,0,1
2916,8/5/2011,71.1,71.89,69.55,70,45.3491,2182200,0,1
2917,8/8/2011,68.42,69.23,67.32,67.84,43.9497,1981700,0,1
2918,8/9/2011,68.55,71.84,68.46,71.84,46.5411,3118000,0,1
2919,8/10/2011,71.59,72.67,69.56,71.15,46.0941,2154600,0,1
2920,8/11/2011,71.41,72.7,70.05,72.5,46.9687,1674200,0,1
2921,8/12/2011,73.05,73.43,72.26,72.66,47.0724,1022200,0,1
2922,8/15/2011,73.29,73.37,72.08,72.51,46.9752,1585200,0,1
2923,8/16/2011,72.35,72.59,71.4,72.42,46.9169,1192100,0,1
2924,8/17/2011,72.42,73.57,72.41,73.35,47.5194,1423500,0,1
2925,8/18/2011,72.35,72.6,71,71.57,46.3662,1522400,0,1
2926,8/19/2011,70.5,71.26,69.15,69.42,44.9733,2236500,0,1
2927,8/22/2011,70.79,70.88,68.26,68.6,44.4421,1331300,0,1
2928,8/23/2011,69.06,71.75,68.08,71.63,46.4051,2555800,0,1
2929,8/24/2011,71.63,73.06,71.27,72.23,46.7938,1519900,0,1
2930,8/25/2011,72.75,73.49,71.4,72.14,46.7355,1601700,0,1
2931,8/26/2011,71.68,72.49,70.7,71.2,46.1265,1460200,0,1
2932,8/29/2011,71.98,72.44,71.58,71.9,46.58,1083700,0,1
2933,8/30/2011,72.16,73.26,71.46,73.06,47.3315,1762400,0,1
2934,8/31/2011,75.43,76.75,75.24,76.4,49.4953,4005200,0,1
2935,9/1/2011,76.3,76.74,75.5,76.11,49.3074,1817400,0,1
2936,9/2/2011,74.92,76.3,74.9,75.95,49.2038,1223100,0,1
2937,9/6/2011,74.22,75.49,74.1,75.36,48.8215,1715100,0,1
2938,9/7/2011,76.12,76.5,75.79,76.5,49.5601,993400,0,1
2939,9/8/2011,75.64,76.44,75.52,76.27,49.4111,924700,0,1
2940,9/9/2011,75.9,76.37,74.83,74.97,48.5689,1406600,0,1
2941,9/12/2011,74.17,74.43,72.63,73.33,47.5064,1881400,0,1
2942,9/13/2011,73.5,74.43,72.96,74.15,48.0376,1293400,0,1
2943,9/14/2011,74.55,75.23,74.26,74.81,48.4652,1694600,0,1
2944,9/15/2011,75.35,76.14,74.85,76.14,49.3268,1512500,0,1
2945,9/16/2011,76.59,76.98,75.94,76.02,49.2491,2738100,0,1
2946,9/19/2011,75.3,76,75.01,75.26,48.7568,1111500,0,1
2947,9/20/2011,75.69,75.75,75.04,75.38,48.8345,1003400,0,1
2948,9/21/2011,75.33,75.37,73.6,73.79,47.8044,1503600,0,1
2949,9/22/2011,72.5,72.72,69.91,70.56,45.7119,3459500,0,1
2950,9/23/2011,70,71.87,69.26,71.16,46.1006,2425600,0,1
2951,9/26/2011,71,72.18,69.49,72.18,47.3604,1848200,0,1
2952,9/27/2011,72.89,73.8,71.96,72.36,47.4785,2285300,0,1
2953,9/28/2011,72.45,73.29,71.88,72.61,47.6425,1929600,0,1
2954,9/29/2011,73.25,73.9,72.83,73.55,48.2593,1536300,0,1
2955,9/30/2011,72.7,73.38,72.7,73.38,48.1478,1000000,0,1
2956,10/3/2011,71.96,72.5,70.81,71.44,46.8748,1989200,0,1
2957,10/4/2011,70.21,70.81,68.9,70.7,46.3893,1500000,0,1
2958,10/5/2011,71.32,72.89,70.39,72.45,47.5375,1400000,0,1
2959,10/6/2011,72.57,73.61,71.85,73.44,48.1871,1100000,0,1
2960,10/7/2011,73.56,73.99,73,73.5,48.2265,1000000,0,1
2961,10/11/2011,74.31,75.65,74.1,75.54,49.565,2100000,0,1
2962,10/12/2011,75.89,76.42,75.65,76.04,49.8931,1400000,0,1
2963,10/13/2011,76,76,74.65,75.17,49.3222,928000,0,1
2964,10/14/2011,75.69,75.69,74.68,75.14,49.3026,1800000,0,1
2965,10/17/2011,75.08,75.51,74.48,75,49.2107,552000,0,1
2966,10/18/2011,74.85,75.45,74.4,75.13,49.296,573600,0,1
2967,10/19/2011,74.87,75.65,74.81,75.09,49.2698,1100000,0,1
2968,10/20/2011,74.92,75.3,74.07,74.88,49.132,769500,0,1
2969,10/21/2011,75.42,75.59,74.49,75.04,49.2369,902000,0,1
2970,10/24/2011,75.5,75.85,74.69,75.32,49.4207,1301700,0,1
2971,10/25/2011,75.05,75.4,74.01,74.02,48.5677,976700,0,1
2972,10/26/2011,74.39,74.39,73.21,73.71,48.3643,1390500,0,1
2973,10/27/2011,74.99,76.08,74.74,75.55,49.5716,1911100,0,1
2974,10/28/2011,75.74,75.87,74.98,75.23,49.3616,1230000,0,1
2975,10/31/2011,74.71,75.97,74.54,75.1,49.2763,1749900,0,1
2976,11/1/2011,73.93,74.39,73.21,73.28,48.0821,1933200,0,1
2977,11/2/2011,73.68,74.58,73.4,73.77,48.4036,1395300,0,1
2978,11/3/2011,74.19,74.45,73.24,74.22,48.6989,1065900,0,1
2979,11/4/2011,73.72,74.19,73.25,73.96,48.5283,824100,0,1
2980,11/7/2011,73.77,74.04,73.52,73.68,48.3446,968200,0,1
2981,11/8/2011,73.8,74.04,73.5,73.67,48.338,815700,0,1
2982,11/9/2011,73.22,73.23,72.44,72.64,47.6622,962700,0,1
2983,11/10/2011,72.7,72.72,71.37,71.45,46.8814,1576800,0,1
2984,11/11/2011,72.05,72.48,71.61,71.92,47.1898,1019000,0,1
2985,11/14/2011,72.15,72.25,71.14,71.78,47.0979,1400000,0,1
2986,11/15/2011,71.49,71.9,71.01,71.55,46.947,1726800,0,1
2987,11/16/2011,71.3,72.06,71.15,71.77,47.0914,1900000,0,1
2988,11/17/2011,71.75,71.88,71.05,71.13,46.6714,1916600,0,1
2989,11/18/2011,71.3,71.4,70.6,71,46.5861,1400000,0,1
2990,11/21/2011,70.5,70.76,69.57,70.15,46.0284,1462400,0,1
2991,11/22/2011,70.01,70.27,69.66,69.92,45.8775,1463000,0,1
2992,11/23/2011,69.59,69.85,68.15,69.6,45.6675,1416400,0,1
2993,11/24/2011,69.85,69.85,68.3,68.62,45.0245,537200,0,1
2994,11/25/2011,68.68,68.8,68.21,68.43,44.8998,1175700,0,1
2995,11/28/2011,69.16,69.7,68.66,69.08,45.3263,1261700,0,1
2996,11/29/2011,69.08,70.1,69.08,69.87,45.8447,1384000,0,1
2997,11/30/2011,71.4,73.02,71.2,72.91,47.8394,2183200,0,1
2998,12/1/2011,73,73.16,71.66,72,47.2423,1880800,0,1
2999,12/2/2011,72.69,72.69,70.81,71.54,46.9404,1787700,0,1
3000,12/5/2011,72.34,72.94,72,72.25,47.4063,1284600,0,1
3001,12/6/2011,72.18,72.31,71.44,71.87,47.157,1344500,0,1
3002,12/7/2011,71.76,72.31,71.2,72.15,47.3407,1585700,0,1
3003,12/8/2011,71.79,72.38,71.32,71.55,46.947,1250400,0,1
3004,12/9/2011,71.55,72.06,71.41,71.92,47.1898,1389500,0,1
3005,12/12/2011,71.58,71.94,71.26,71.93,47.1963,1800000,0,1
3006,12/13/2011,72,72.36,71.32,71.88,47.1635,1300000,0,1
3007,12/14/2011,71.65,71.96,71.04,71.45,46.8814,1592300,0,1
3008,12/15/2011,71.71,71.82,71,71.27,46.7633,1600000,0,1
3009,12/16/2011,71.06,72.45,70.94,72.3,47.4391,2806500,0,1
3010,12/19/2011,72.19,72.87,72.19,72.43,47.5244,1327400,0,1
3011,12/20/2011,72.89,73.75,72.75,73.35,48.1281,1169300,0,1
3012,12/21/2011,73.08,73.7,73.08,73.64,48.3183,1237300,0,1
3013,12/22/2011,72.88,73.57,72.75,73.38,48.7435,1321400,0,1
3014,12/23/2011,73.24,73.82,73.02,73.42,48.7701,764800,0,1
3015,12/28/2011,73.18,73.27,72.38,72.67,48.2718,602000,0,1
3016,12/29/2011,72.5,73.27,72.5,73,48.4911,448600,0,1
3017,12/30/2011,72.91,73.96,72.91,73.79,49.0158,688100,0,1
3018,1/3/2012,74.3,75.14,74.16,75.07,49.8661,1258800,0,1
3019,1/4/2012,75,75.53,74.36,75.18,49.9391,902900,0,1
3020,1/5/2012,74.99,75.38,74.6,75.2,49.9524,844500,0,1
3021,1/6/2012,75,75.31,74.43,74.65,49.5871,824700,0,1
3022,1/9/2012,74.65,75.12,74.33,74.99,49.8129,901000,0,1
3023,1/10/2012,75.36,75.71,74.83,74.93,49.7731,899000,0,1
3024,1/11/2012,74.9,75.09,74.58,74.6,49.5539,1000000,0,1
3025,1/12/2012,74.8,75.34,74.66,75.15,49.9192,1916100,0,1
3026,1/13/2012,75.13,75.13,74.25,74.63,49.5738,1075600,0,1
3027,1/16/2012,74.72,74.96,74.51,74.67,49.6004,249500,0,1
3028,1/17/2012,74.89,75.35,74.61,75.13,49.9059,1435100,0,1
3029,1/18/2012,75.07,75.8,74.89,75.23,49.9724,1370200,0,1
3030,1/19/2012,75.61,76.8,75.5,76.3,50.6831,2159500,0,1
3031,1/20/2012,76.4,77,76.34,76.88,51.0684,1032800,0,1
3032,1/23/2012,77.13,78.29,77.09,78,51.8124,1999500,0,1
3033,1/24/2012,77.59,77.86,77.11,77.63,51.5666,1500000,0,1
3034,1/25/2012,77.6,77.73,76.52,76.88,51.0684,1608200,0,1
3035,1/26/2012,77.07,77.14,75.19,75.27,49.9989,2516900,0,1
3036,1/27/2012,75,75.4,74.26,75.01,49.8262,1479400,0,1
3037,1/30/2012,74.51,75.55,74.51,75.49,50.1451,1103200,0,1
3038,1/31/2012,75.91,76.35,75.64,76.25,50.6499,1557400,0,1
3039,2/1/2012,76.64,76.95,76.47,76.7,50.9488,1024300,0,1
3040,2/2/2012,76.4,76.78,76.13,76.39,50.7429,1565800,0,1
3041,2/3/2012,76.5,77.02,75.99,76.35,50.7163,1619100,0,1
3042,2/6/2012,76.35,76.89,75.97,76.4,50.7495,1600100,0,1
3043,2/7/2012,76.6,76.65,75.8,76.34,50.7097,1628300,0,1
3044,2/8/2012,76.58,77.18,76.35,77,51.1481,1518100,0,1
3045,2/9/2012,76.79,77.13,76.6,77.06,51.1879,1061900,0,1
3046,2/10/2012,76.76,77.05,76.3,76.93,51.1016,802100,0,1
3047,2/13/2012,77.08,77.27,76.42,76.79,51.0086,874000,0,1
3048,2/14/2012,76.72,76.91,76.4,76.91,51.0883,867700,0,1
3049,2/15/2012,76.91,77.11,76.3,76.88,51.0684,1329500,0,1
3050,2/16/2012,76.89,77.15,76.54,77.15,51.2477,1419000,0,1
3051,2/17/2012,77.15,77.19,76.6,76.75,50.982,1564900,0,1
3052,2/21/2012,76.96,77.85,76.45,77.47,51.4603,1445200,0,1
3053,2/22/2012,77.71,77.73,76.95,77.08,51.2012,1227800,0,1
3054,2/23/2012,76.71,77.01,76.61,77,51.1481,860200,0,1
3055,2/24/2012,77.01,77.19,76.38,76.51,50.8226,1181500,0,1
3056,2/27/2012,76.51,76.89,76.13,76.78,51.002,857600,0,1
3057,2/28/2012,76.95,77.22,76.73,77.11,51.2212,805000,0,1
3058,2/29/2012,77.12,77.48,76.55,76.69,50.9422,1278800,0,1
3059,3/1/2012,76.92,77.17,76.8,77.03,51.168,1455100,0,1
3060,3/2/2012,77.11,77.33,76.8,77.02,51.1614,817300,0,1
3061,3/5/2012,77.16,77.17,76.65,76.88,51.0684,823200,0,1
3062,3/6/2012,76.6,76.94,75.55,76.19,50.6101,1133200,0,1
3063,3/7/2012,75.97,76.41,75.14,76.27,50.6632,1435600,0,1
3064,3/8/2012,76.5,76.55,75.34,76.11,50.5569,1837700,0,1
3065,3/9/2012,76,76.21,74.75,74.98,49.8063,2728100,0,1
3066,3/12/2012,75.13,75.18,74.44,74.58,49.5406,1084200,0,1
3067,3/13/2012,74.8,75.91,74.72,75.91,50.4241,1650500,0,1
3068,3/14/2012,76.1,76.27,75.74,76.21,50.6233,1395000,0,1
3069,3/15/2012,76.21,76.95,76.01,76.84,51.0418,1414300,0,1
3070,3/16/2012,76.75,77.38,76.75,77.26,51.3208,2795700,0,1
3071,3/19/2012,77.49,77.69,76.9,77.05,51.1813,1218400,0,1
3072,3/20/2012,76.64,77.15,76.42,76.86,51.0551,925700,0,1
3073,3/21/2012,76.72,77.4,76.42,77.2,51.2809,1426500,0,1
3074,3/22/2012,76.96,77.69,76.85,77.51,51.4869,1361400,0,1
3075,3/23/2012,77.5,78,77.25,78,51.8124,1512600,0,1
3076,3/26/2012,77.5,77.5,76.99,77.14,51.8392,2415200,0,1
3077,3/27/2012,77.1,77.41,77.01,77.14,51.8392,865000,0,1
3078,3/28/2012,76.98,77.13,76.47,76.78,51.5973,935500,0,1
3079,3/29/2012,76.78,76.78,75.24,76.46,51.3823,1725200,0,1
3080,3/30/2012,76.7,76.93,76.11,76.24,51.2344,1029500,0,1
3081,4/2/2012,75.99,76.66,75.82,76.54,51.436,967000,0,1
3082,4/3/2012,76.27,76.32,75.52,76,51.0731,900000,0,1
3083,4/4/2012,75.48,76.52,75.33,76.4,51.3419,1099500,0,1
3084,4/5/2012,76.07,76.08,75.1,75.4,50.6699,1200000,0,1
3085,4/9/2012,75.09,75.44,74.93,75.13,50.4885,485000,0,1
3086,4/10/2012,75.13,75.2,73.79,74.46,50.0382,830000,0,1
3087,4/11/2012,74.46,75.52,74.45,75.21,50.5422,724700,0,1
3088,4/12/2012,75.16,75.88,75.05,75.5,50.7371,824600,0,1
3089,4/13/2012,75.52,75.52,74.34,74.57,50.1122,1050600,0,1
3090,4/16/2012,74.79,75.33,74.75,75.15,50.5019,2013200,0,1
3091,4/17/2012,75.48,75.48,74.41,74.85,50.3003,1635700,0,1
3092,4/18/2012,74.61,75.37,74.33,75,50.4011,1005500,0,1
3093,4/19/2012,75.04,75.53,74.76,75.04,50.428,774200,0,1
3094,4/20/2012,75.07,75.48,74.29,74.44,50.0248,1106800,0,1
3095,4/23/2012,74,74.12,73.08,73.46,49.3662,1281300,0,1
3096,4/24/2012,73.58,73.97,73.23,73.43,49.3461,762000,0,1
3097,4/25/2012,73.76,73.84,73.28,73.49,49.3864,978000,0,1
3098,4/26/2012,73.5,73.75,72.87,73.27,49.2385,917200,0,1
3099,4/27/2012,73.27,74.37,73.27,74.22,49.8769,784900,0,1
3100,4/30/2012,74.14,74.6,73.79,74.53,50.0853,778000,0,1
3101,5/1/2012,74.69,74.75,74.2,74.68,50.1861,619400,0,1
3102,5/2/2012,74.36,74.51,73.58,73.81,49.6014,870800,0,1
3103,5/3/2012,73.99,74.31,73.02,73.32,49.2721,816000,0,1
3104,5/4/2012,73,73.39,72.19,72.59,48.7816,1012600,0,1
3105,5/7/2012,72.25,73.22,72.17,73.13,49.1445,1066100,0,1
3106,5/8/2012,72.95,73.26,72.05,72.63,48.8084,1146100,0,1
3107,5/9/2012,72.11,73.07,72.01,72.82,48.9361,1200000,0,1
3108,5/10/2012,73.09,73.35,72.62,72.86,48.963,1000000,0,1
3109,5/11/2012,72.74,73.16,72.23,72.69,48.8488,684900,0,1
3110,5/14/2012,72,72.26,71.55,71.67,48.1633,1400000,0,1
3111,5/15/2012,71.67,71.73,71.19,71.54,48.076,1121600,0,1
3112,5/16/2012,71.54,71.75,71.07,71.55,48.0827,1200000,0,1
3113,5/17/2012,71.31,71.58,70.42,70.48,47.3636,778300,0,1
3114,5/18/2012,70.6,70.96,69.66,70.04,47.0679,1000000,0,1
3115,5/22/2012,70.84,71.15,70.2,70.5,47.3771,1000000,0,1
3116,5/23/2012,70.49,71.12,69.58,70.85,47.6123,1418800,0,1
3117,5/24/2012,70.89,71.33,70.03,70.66,47.4846,870600,0,1
3118,5/25/2012,70.49,70.6,69.96,70.03,47.0612,992200,0,1
3119,5/28/2012,70.47,70.5,69.69,70.39,47.3031,237700,0,1
3120,5/29/2012,70.99,70.99,70.2,70.75,47.5451,1308500,0,1
3121,5/30/2012,70.48,70.73,70.25,70.33,47.2628,838700,0,1
3122,5/31/2012,71.17,72.2,70.75,72.07,48.4321,2877100,0,1
3123,6/1/2012,71.35,71.53,70.31,70.45,47.3435,1583100,0,1
3124,6/4/2012,70.37,70.65,69.13,69.7,46.8394,1522800,0,1
3125,6/5/2012,69.73,70.5,69.64,70.31,47.2494,919100,0,1
3126,6/6/2012,70.65,70.89,70.4,70.85,47.6123,1051200,0,1
3127,6/7/2012,71.1,71.49,70.9,71.1,47.7803,1270000,0,1
3128,6/8/2012,70.98,71.17,70.2,70.43,47.33,1172500,0,1
3129,6/11/2012,71.18,71.19,70.2,70.33,47.2628,930000,0,1
3130,6/12/2012,70.47,71,70.17,70.75,47.5451,742800,0,1
3131,6/13/2012,70.49,71.66,70.36,71.15,47.8139,1371300,0,1
3132,6/14/2012,71.31,71.31,70.62,71.05,47.7467,1303400,0,1
3133,6/15/2012,71.07,71.7,70.87,71.7,48.1835,1853400,0,1
3134,6/18/2012,71.74,72.15,71.29,71.32,47.9281,1093800,0,1
3135,6/19/2012,71.72,73,71.57,72.75,48.8891,1799800,0,1
3136,6/20/2012,73,73,72.16,72.82,48.9361,1082900,0,1
3137,6/21/2012,72.82,72.98,71.52,71.71,48.1902,1094800,0,1
3138,6/22/2012,71.99,72.55,71.86,72.51,48.7278,918800,0,1
3139,6/25/2012,72.31,72.35,71.58,71.87,48.2977,1012300,0,1
3140,6/26/2012,71.25,71.28,70.45,70.91,48.2569,934200,0,1
